[3Fe-4S]+;[4Fe-4S]2+
120.7505;91.7618
122.7835;90.4058
123.7779;94.2934
121.1456;90.7027
120.7576;90.4111
121.2858;92.525
125.2118;92.347
117.1985;92.3186
120.458;92.771
120.6386;96.4239
121.0581;94.2548
122.3688;93.0855
120.2096;91.9368
121.3512;95.5555
122.3667;94.2388
125.1857;93.3062
124.7169;93.1342
122.816;91.7255
124.664;94.1587
125.8609;92.6875
123.706;91.8011
122.1244;91.1637
128.1052;94.6982
122.7465;94.0571
124.5458;94.9872
124.1715;93.2258
119.4737;94.5209
126.5565;93.6204
122.7749;92.9694
125.1989;92.6262
123.4081;93.3577
125.0582;93.398
126.4865;93.1707
121.5025;91.3654
124.5147;94.0249
124.8184;93.807
125.9508;94.466
122.1311;93.0621
125.6434;94.3987
123.1405;96.3312
123.8209;92.2475
126.9656;94.8735
123.1596;91.3294
123.2047;91.3088
124.8892;88.174
124.5706;93.1234
126.7868;92.6703
126.4578;94.3087
125.2951;92.3742
124.4261;91.9901
120.1927;92.923
122.2413;94.0458
119.1747;89.705
124.0463;90.4959
121.6102;91.5364
120.3006;91.6229
124.2625;92.0491
124.8841;93.6528
128.6593;92.1442
121.4425;89.8899
123.0719;91.4491
125.0203;92.0122
124.2664;93.5029
